"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 02 10:22:39 GMT 2021","Fri Apr 02 10:22:39 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_reset_profile",""
"passed","Fri Apr 02 10:22:21 GMT 2021","Fri Apr 02 10:22:21 GMT 2021","0","ap_tests","test_apnos","","","","test_something_3",""
"passed","Fri Apr 02 10:22:34 GMT 2021","Fri Apr 02 10:22:38 GMT 2021","4448","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_cleanup",""
"passed","Fri Apr 02 10:22:34 GMT 2021","Fri Apr 02 10:22:34 GMT 2021","0","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_hard_cleanup",""
"passed","Fri Apr 02 10:22:41 GMT 2021","Fri Apr 02 10:22:41 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_5g",""
"failed","Fri Apr 02 10:22:24 GMT 2021","Fri Apr 02 10:22:24 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_active_version_cloud",""
"passed","Fri Apr 02 10:22:39 GMT 2021","Fri Apr 02 10:22:39 GMT 2021","0","cloudsdk_tests","test_profile","TestRadiusProfile","","","test_radius_profile_creation",""
"passed","Fri Apr 02 10:22:24 GMT 2021","Fri Apr 02 10:22:24 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1001",""
"passed","Fri Apr 02 10:22:39 GMT 2021","Fri Apr 02 10:22:39 GMT 2021","0","cloudsdk_tests","test_profile","TestRfProfile","","","test_radius_profile_creation",""
"passed","Fri Apr 02 10:22:41 GMT 2021","Fri Apr 02 10:22:41 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_2g",""
"passed","Fri Apr 02 10:21:19 GMT 2021","Fri Apr 02 10:21:19 GMT 2021","0","ap_tests","test_apnos","","","","test_something_2",""
"passed","Fri Apr 02 10:22:24 GMT 2021","Fri Apr 02 10:22:24 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1",""
"passed","Fri Apr 02 10:22:40 GMT 2021","Fri Apr 02 10:22:40 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_2g",""
"passed","Fri Apr 02 10:22:42 GMT 2021","Fri Apr 02 10:22:42 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_2g",""
"failed","Fri Apr 02 10:21:31 GMT 2021","Fri Apr 02 10:21:31 GMT 2021","0","ap_tests","test_apnos","TestFirmwareAPNOS","","","test_ap_firmware",""
"passed","Fri Apr 02 10:22:23 GMT 2021","Fri Apr 02 10:22:23 GMT 2021","1","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_create",""
"broken","Fri Apr 02 10:22:23 GMT 2021","Fri Apr 02 10:22:23 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_upgrade_request",""
"passed","Fri Apr 02 10:22:40 GMT 2021","Fri Apr 02 10:22:40 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_5g",""
"passed","Fri Apr 02 10:22:21 GMT 2021","Fri Apr 02 10:22:21 GMT 2021","51","cloudsdk_tests","test_cloud","TestCloudSDK","","","test_cloud_sdk_version",""
"failed","Fri Apr 02 10:22:21 GMT 2021","Fri Apr 02 10:22:21 GMT 2021","0","ap_tests","test_apnos","TestConnection","","","test_ap_manager_state",""
"passed","Fri Apr 02 10:22:21 GMT 2021","Fri Apr 02 10:22:21 GMT 2021","0","cloudsdk_apnos","test_cloudsdk_apnos","TestCloudAPNOS","","","test_apnos_cloud",""
"passed","Fri Apr 02 10:22:42 GMT 2021","Fri Apr 02 10:22:42 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_5g",""
