"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 01 08:31:30 GMT 2021","Thu Apr 01 08:31:30 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_upgrade_request",""
"passed","Thu Apr 01 08:31:38 GMT 2021","Thu Apr 01 08:31:38 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_2g",""
"passed","Thu Apr 01 08:31:28 GMT 2021","Thu Apr 01 08:31:28 GMT 2021","0","ap_tests","test_apnos","","","","test_something_3",""
"passed","Thu Apr 01 08:31:28 GMT 2021","Thu Apr 01 08:31:28 GMT 2021","0","cloudsdk_apnos","test_cloudsdk_apnos","TestCloudAPNOS","","","test_apnos_cloud",""
"passed","Thu Apr 01 08:31:31 GMT 2021","Thu Apr 01 08:31:36 GMT 2021","4532","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_cleanup",""
"passed","Thu Apr 01 08:31:36 GMT 2021","Thu Apr 01 08:31:36 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_reset_profile",""
"passed","Thu Apr 01 08:31:31 GMT 2021","Thu Apr 01 08:31:31 GMT 2021","0","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_hard_cleanup",""
"passed","Thu Apr 01 08:31:38 GMT 2021","Thu Apr 01 08:31:38 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_5g",""
"failed","Thu Apr 01 08:31:30 GMT 2021","Thu Apr 01 08:31:30 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_active_version_cloud",""
"failed","Thu Apr 01 08:31:28 GMT 2021","Thu Apr 01 08:31:28 GMT 2021","0","ap_tests","test_apnos","TestConnection","","","test_ap_manager_state",""
"passed","Thu Apr 01 08:31:37 GMT 2021","Thu Apr 01 08:31:37 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_5g",""
"passed","Thu Apr 01 08:30:27 GMT 2021","Thu Apr 01 08:30:27 GMT 2021","0","ap_tests","test_apnos","","","","test_something_2",""
"passed","Thu Apr 01 08:31:30 GMT 2021","Thu Apr 01 08:31:30 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_create",""
"passed","Thu Apr 01 08:31:28 GMT 2021","Thu Apr 01 08:31:28 GMT 2021","34","cloudsdk_tests","test_cloud","TestCloudSDK","","","test_cloud_sdk_version",""
"failed","Thu Apr 01 08:30:38 GMT 2021","Thu Apr 01 08:30:38 GMT 2021","0","ap_tests","test_apnos","TestFirmwareAPNOS","","","test_ap_firmware",""
"passed","Thu Apr 01 08:31:37 GMT 2021","Thu Apr 01 08:31:37 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_2g",""
"passed","Thu Apr 01 08:31:30 GMT 2021","Thu Apr 01 08:31:30 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1",""
"passed","Thu Apr 01 08:31:37 GMT 2021","Thu Apr 01 08:31:37 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_5g",""
"passed","Thu Apr 01 08:31:37 GMT 2021","Thu Apr 01 08:31:37 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_2g",""
"passed","Thu Apr 01 08:31:36 GMT 2021","Thu Apr 01 08:31:36 GMT 2021","1","cloudsdk_tests","test_profile","TestRadiusProfile","","","test_radius_profile_creation",""
"passed","Thu Apr 01 08:31:36 GMT 2021","Thu Apr 01 08:31:36 GMT 2021","0","cloudsdk_tests","test_profile","TestRfProfile","","","test_radius_profile_creation",""
