"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 01 11:46:20 GMT 2021","Thu Apr 01 11:46:20 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_2g",""
"passed","Thu Apr 01 11:46:19 GMT 2021","Thu Apr 01 11:46:19 GMT 2021","0","cloudsdk_tests","test_profile","TestRfProfile","","","test_radius_profile_creation",""
"passed","Thu Apr 01 11:45:57 GMT 2021","Thu Apr 01 11:45:57 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_create",""
"passed","Thu Apr 01 11:46:20 GMT 2021","Thu Apr 01 11:46:20 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_reset_profile",""
"passed","Thu Apr 01 11:46:13 GMT 2021","Thu Apr 01 11:46:13 GMT 2021","1","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_hard_cleanup",""
"passed","Thu Apr 01 11:46:20 GMT 2021","Thu Apr 01 11:46:20 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_2g",""
"passed","Thu Apr 01 11:46:21 GMT 2021","Thu Apr 01 11:46:21 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_2g",""
"passed","Thu Apr 01 11:46:21 GMT 2021","Thu Apr 01 11:46:21 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_5g",""
"broken","Thu Apr 01 11:45:57 GMT 2021","Thu Apr 01 11:45:57 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_upgrade_request",""
"failed","Thu Apr 01 11:45:54 GMT 2021","Thu Apr 01 11:45:54 GMT 2021","0","ap_tests","test_apnos","TestConnection","","","test_ap_manager_state",""
"passed","Thu Apr 01 11:45:54 GMT 2021","Thu Apr 01 11:45:54 GMT 2021","0","cloudsdk_apnos","test_cloudsdk_apnos","TestCloudAPNOS","","","test_apnos_cloud",""
"passed","Thu Apr 01 11:46:13 GMT 2021","Thu Apr 01 11:46:19 GMT 2021","6165","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_cleanup",""
"passed","Thu Apr 01 11:44:53 GMT 2021","Thu Apr 01 11:44:53 GMT 2021","0","ap_tests","test_apnos","","","","test_something_2",""
"failed","Thu Apr 01 11:45:04 GMT 2021","Thu Apr 01 11:45:04 GMT 2021","1","ap_tests","test_apnos","TestFirmwareAPNOS","","","test_ap_firmware",""
"passed","Thu Apr 01 11:45:57 GMT 2021","Thu Apr 01 11:45:57 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1001",""
"passed","Thu Apr 01 11:46:20 GMT 2021","Thu Apr 01 11:46:20 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_5g",""
"passed","Thu Apr 01 11:46:21 GMT 2021","Thu Apr 01 11:46:21 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_5g",""
"passed","Thu Apr 01 11:45:55 GMT 2021","Thu Apr 01 11:45:55 GMT 2021","158","cloudsdk_tests","test_cloud","TestCloudSDK","","","test_cloud_sdk_version",""
"passed","Thu Apr 01 11:45:54 GMT 2021","Thu Apr 01 11:45:54 GMT 2021","0","ap_tests","test_apnos","","","","test_something_3",""
"passed","Thu Apr 01 11:46:20 GMT 2021","Thu Apr 01 11:46:20 GMT 2021","0","cloudsdk_tests","test_profile","TestRadiusProfile","","","test_radius_profile_creation",""
"failed","Thu Apr 01 11:45:57 GMT 2021","Thu Apr 01 11:45:57 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_active_version_cloud",""
"passed","Thu Apr 01 11:45:57 GMT 2021","Thu Apr 01 11:45:57 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1",""
