"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 02 11:18:28 GMT 2021","Fri Apr 02 11:18:28 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_2g",""
"failed","Fri Apr 02 11:18:13 GMT 2021","Fri Apr 02 11:18:13 GMT 2021","0","ap_tests","test_apnos","TestConnection","","","test_ap_manager_state",""
"passed","Fri Apr 02 11:18:13 GMT 2021","Fri Apr 02 11:18:13 GMT 2021","63","cloudsdk_tests","test_cloud","TestCloudSDK","","","test_cloud_sdk_version",""
"passed","Fri Apr 02 11:18:29 GMT 2021","Fri Apr 02 11:18:29 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_5g",""
"passed","Fri Apr 02 11:18:29 GMT 2021","Fri Apr 02 11:18:29 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_2g",""
"passed","Fri Apr 02 11:17:11 GMT 2021","Fri Apr 02 11:17:11 GMT 2021","1","ap_tests","test_apnos","","","","test_something_2",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_with_named_link",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1",""
"failed","Fri Apr 02 11:17:23 GMT 2021","Fri Apr 02 11:17:23 GMT 2021","0","ap_tests","test_apnos","TestFirmwareAPNOS","","","test_ap_firmware",""
"passed","Fri Apr 02 11:18:22 GMT 2021","Fri Apr 02 11:18:26 GMT 2021","4059","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_cleanup",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1003","test description propagated to allure
    "
"broken","Fri Apr 02 11:18:15 GMT 2021","Fri Apr 02 11:18:15 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_upgrade_request",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1001",""
"failed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","TestFirmware","","","test_active_version_cloud",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_with_issue_link",""
"passed","Fri Apr 02 11:18:13 GMT 2021","Fri Apr 02 11:18:13 GMT 2021","0","ap_tests","test_apnos","","","","test_something_3",""
"passed","Fri Apr 02 11:18:22 GMT 2021","Fri Apr 02 11:18:22 GMT 2021","0","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_hard_cleanup",""
"passed","Fri Apr 02 11:18:27 GMT 2021","Fri Apr 02 11:18:27 GMT 2021","1","cloudsdk_tests","test_profile","TestRadiusProfile","","","test_radius_profile_creation",""
"passed","Fri Apr 02 11:18:13 GMT 2021","Fri Apr 02 11:18:13 GMT 2021","0","cloudsdk_apnos","test_cloudsdk_apnos","TestCloudAPNOS","","","test_apnos_cloud",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_with_link",""
"passed","Fri Apr 02 11:18:28 GMT 2021","Fri Apr 02 11:18:28 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_2g",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","1","cloudsdk_tests","test_cloud","","","","test_something_1002","
    test description propagated to allure
    "
"passed","Fri Apr 02 11:18:15 GMT 2021","Fri Apr 02 11:18:15 GMT 2021","1","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_create",""
"passed","Fri Apr 02 11:18:16 GMT 2021","Fri Apr 02 11:18:16 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_with_testcase_link",""
"passed","Fri Apr 02 11:18:27 GMT 2021","Fri Apr 02 11:18:27 GMT 2021","0","cloudsdk_tests","test_profile","TestRfProfile","","","test_radius_profile_creation",""
"passed","Fri Apr 02 11:18:28 GMT 2021","Fri Apr 02 11:18:28 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_5g",""
"passed","Fri Apr 02 11:18:27 GMT 2021","Fri Apr 02 11:18:27 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_reset_profile",""
"passed","Fri Apr 02 11:18:28 GMT 2021","Fri Apr 02 11:18:28 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_5g",""
