"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 01 08:12:05 GMT 2021","Thu Apr 01 08:12:05 GMT 2021","1","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_hard_cleanup",""
"passed","Thu Apr 01 08:12:08 GMT 2021","Thu Apr 01 08:12:08 GMT 2021","0","cloudsdk_tests","test_profile","TestRfProfile","","","test_radius_profile_creation",""
"passed","Thu Apr 01 08:12:09 GMT 2021","Thu Apr 01 08:12:09 GMT 2021","1","cloudsdk_tests","test_profile","TestRadiusProfile","","","test_radius_profile_creation",""
"passed","Thu Apr 01 08:12:10 GMT 2021","Thu Apr 01 08:12:10 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_2g",""
"passed","Thu Apr 01 08:11:59 GMT 2021","Thu Apr 01 08:11:59 GMT 2021","1","ap_tests","test_apnos","","","","test_something_3",""
"passed","Thu Apr 01 08:12:02 GMT 2021","Thu Apr 01 08:12:02 GMT 2021","1","cloudsdk_tests","test_cloud","TestFirmware","","","test_active_version_cloud",""
"passed","Thu Apr 01 08:12:02 GMT 2021","Thu Apr 01 08:12:02 GMT 2021","1","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_upgrade_request",""
"passed","Thu Apr 01 08:12:02 GMT 2021","Thu Apr 01 08:12:02 GMT 2021","0","cloudsdk_tests","test_cloud","","","","test_something_1",""
"passed","Thu Apr 01 08:12:10 GMT 2021","Thu Apr 01 08:12:10 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_2g",""
"failed","Thu Apr 01 08:11:59 GMT 2021","Thu Apr 01 08:11:59 GMT 2021","0","ap_tests","test_apnos","TestConnection","","","test_ap_manager_state",""
"failed","Thu Apr 01 08:11:09 GMT 2021","Thu Apr 01 08:11:09 GMT 2021","0","ap_tests","test_apnos","TestFirmwareAPNOS","","","test_ap_firmware",""
"passed","Thu Apr 01 08:12:09 GMT 2021","Thu Apr 01 08:12:09 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa_5g",""
"passed","Thu Apr 01 08:12:09 GMT 2021","Thu Apr 01 08:12:09 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_reset_profile",""
"passed","Thu Apr 01 08:11:59 GMT 2021","Thu Apr 01 08:11:59 GMT 2021","59","cloudsdk_tests","test_cloud","TestCloudSDK","","","test_cloud_sdk_version",""
"passed","Thu Apr 01 08:12:11 GMT 2021","Thu Apr 01 08:12:11 GMT 2021","1","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_5g",""
"passed","Thu Apr 01 08:12:05 GMT 2021","Thu Apr 01 08:12:08 GMT 2021","3097","cloudsdk_tests","test_profile","TestProfileCleanup","","","test_profile_cleanup",""
"passed","Thu Apr 01 08:12:10 GMT 2021","Thu Apr 01 08:12:10 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_enterprise_2g",""
"passed","Thu Apr 01 08:10:58 GMT 2021","Thu Apr 01 08:10:58 GMT 2021","0","ap_tests","test_apnos","","","","test_something_2",""
"passed","Thu Apr 01 08:12:01 GMT 2021","Thu Apr 01 08:12:01 GMT 2021","1","cloudsdk_tests","test_cloud","TestFirmware","","","test_firmware_create",""
"passed","Thu Apr 01 08:11:59 GMT 2021","Thu Apr 01 08:11:59 GMT 2021","0","cloudsdk_apnos","test_cloudsdk_apnos","TestCloudAPNOS","","","test_apnos_cloud",""
"passed","Thu Apr 01 08:12:10 GMT 2021","Thu Apr 01 08:12:10 GMT 2021","0","cloudsdk_tests","test_profile","TestProfilesBridge","","","test_ssid_wpa2_personal_5g",""
